"","from_city","to_city"
"391","Zurich","Innsbruck"
"392","Bordeaux","Paris"
"393","Paris","Zurich"
"394","Faro","Porto"
"395","Katowice","Bratislava"
"396","Bratislava","Zagreb"
"397","Cardiff","Birmingham"
"398","Cardiff","London"
"399","Montpellier","Toulouse"
"400","Montpellier","Barcelona"
"401","Montpellier","Marseille"
"402","Duesseldorf","Brussels"
"403","Brussels","Kortrijk"
"404","Antwerp","Kortrijk"
"405","Lyon","Lille"
"406","Frankfurt","Brussels"
"407","Cologne","Brussels"
"408","Manchester","Doncaster"
"409","Klagenfurt","Vienna"
"410","Zurich","Stuttgart"
"411","Lugano","Milan"
"412","Milan","Venice"
"413","Paris","Bordeaux"
"414","Montpellier","Bordeaux"
"415","Verona","Genoa"
"416","Vienna","Gdansk"
"417","Munich","Linz"
"418","Cluj-Napoca","Vienna"
"419","Vienna","Linz"
"420","Stuttgart","Strasbourg"
"421","Memmingen","Munich"
"422","Graz","Vienna"
"423","Hannover","Bremen"
"424","Basel","Hannover"
"425","Zurich","Bremen"
"426","Milan","Genoa"
"427","Chisinau","Bucharest"
"428","Bilbao","Madrid"
"429","Newquay","Bristol"
"430","Newquay","London"
"431","Budapest","Debrecen"
"432","Bordeaux","Mannheim"
"433","Hannover","Munich"
"434","Hannover","Augsburg"
"435","Augsburg","Venice"
"436","Hannover","Verona"
"437","Mannheim","Saarbruecken"
"438","Saarbruecken","Metz"
"439","Hamburg","Malmo"
"440","Salzburg","Munich"
"441","Rome","Naples"
"442","Salzburg","Innsbruck"
"443","Salzburg","Rome"
"444","Stuttgart","Frankfurt"
"445","Stuttgart","Nuremberg"
"446","Milan","Lamezia Terme"
"447","Genoa","Lamezia Terme"
"448","Barcelona","Reus"
"449","Doncaster","Leeds"
"450","Doncaster","London"
"451","London","Paris"
"452","Bologna","Turin"
"453","Berlin","Dresden"
"454","Edinburgh","Aberdeen"
"455","London","Aberdeen"
"456","Karlstad","Gothenburg"
"457","Karlstad","Stockholm"
"458","Strasbourg","Stuttgart"
"459","Rome","Catania"
"460","Liverpool","Birmingham"
"461","Belfast","Dublin"
"462","Doncaster","Exeter"
"463","Bristol","Swansea"
"464","London","Swansea"
"465","Birmingham","Bristol"
"466","Prague","Linz"
"467","Linz","Innsbruck"
"468","Prague","Munich"
"469","Munich","Milan"
"470","Granada","Malaga"
"471","Granada","Madrid"
"472","Madrid","Malaga"
"473","Salzburg","Linz"
"474","Iasi","Cluj-Napoca"
"475","Lamezia Terme","Naples"
"476","Lamezia Terme","Rome"
"477","Reus","Barcelona"
"478","Saarbruecken","Paris"
"479","Mannheim","Bordeaux"
"480","Rome","Lamezia Terme"
"481","Naples","Rome"
"482","Naples","Venice"
"483","Venice","Vienna"
"484","Vienna","Budapest"
"485","Rome","Vienna"
"486","Hamburg","Duesseldorf"
"487","Duesseldorf","Paris"
"488","Gothenburg","Hamburg"
"489","Strasbourg","Nantes"
"490","Munich","Nuremberg"
"491","Norrkoping","Stockholm"
"492","Pardubice","Prague"
"493","Pardubice","Vienna"
"494","Lisbon","Faro"
"495","Prague","Frankfurt"
"496","Bern","Hamburg"
"497","Bern","Zurich"
"498","Zurich","Hamburg"
"499","Aarhus","Copenhagen"
"500","Nuremberg","Frankfurt"
"501","Nuremberg","Munich"
"502","Munich","Hannover"
"503","Prague","Pardubice"
"504","Vienna","Pardubice"
"505","Budapest","Pardubice"
"506","Warsaw","Pardubice"
"507","Norrkoping","Berlin"
"508","Norrkoping","Malmo"
"509","Paris","Cherbourg"
"510","Frankfurt","Milan"
"511","Berlin","Hannover"
"512","Cologne","Hannover"
"513","Milan","Frankfurt"
"514","Frankfurt","Hannover"
"515","Rome","Verona"
"516","Verona","Hannover"
"517","Graz","Ljubljana"
"518","Bristol","London"
"519","Bristol","Birmingham"
"520","Stockholm","Malmo"
"521","Venice","Stuttgart"
"522","Hannover","Rostock"
"523","Frankfurt","Dortmund"
"524","Duesseldorf","Dortmund"
"525","Cologne","Dortmund"
"526","Paderborn","Dortmund"
"527","Rotterdam","Amsterdam"
"528","Rotterdam","Antwerp"
"529","Ljubljana","Rijeka"
"530","Birmingham","London"
"531","Turin","Milan"
"532","Turin","Chambery-Savoie"
"533","Chambery-Savoie","Geneva"
"534","Leeds","Liverpool"
"535","London","Liverpool"
"536","Marseille","Nice"
"537","Prague","Ostrava"
"538","Amsterdam","Vienna"
"539","Varna","Sofia"
"540","Klagenfurt","Salzburg"
"541","Paderborn","Duesseldorf"
"542","Liepaja","Riga"
"543","Geneva","Chambery-Savoie"
"544","Hamburg","Basel"
"545","Basel","Milan"
"546","Vienna","Venice"
"547","Venice","Turin"
"548","Hamburg","Zurich"
"549","Zurich","Lugano"
"550","Helsinki","Lappeenranta"
"551","Budapest","Warsaw"
"552","Budapest","Brno"
"553","Budapest","Katowice"
"554","Zagreb","Budapest"
"555","Budapest","Cluj-Napoca"
"556","Valencia","Murcia"
"557","Madrid","Murcia"
"558","Athens","Thessaloniki"
"559","Bucharest","Vienna"
"560","Dresden","Berlin"
"561","Manchester","Swansea"
"562","Sofia","Varna"
"563","Zurich","Budapest"
"564","Milan","Vienna"
"565","Vienna","Debrecen"
"566","Munich","Mannheim"
"567","Graz","Brno"
"568","Vienna","Brno"
"569","Glasgow","Aberdeen"
"570","Alicante","Madrid"
"571","Plymouth","Aberdeen"
"572","Newcastle","Aberdeen"
"573","Stockholm","Hamburg"
"574","Hamburg","Cologne"
"575","Turin","Trieste"
"576","Madrid","Girona"
"577","Alicante","Murcia"
"578","Frankfurt","Munich"
"579","Oviedo","Madrid"
"580","Prague","Mannheim"
"581","Mannheim","Paris"
"582","Innsbruck","Salzburg"
"583","Lamezia Terme","Venice"
"584","Almeria","Granada"
"585","Riga","Liepaja"
"586","Paris","Mannheim"
"587","Mannheim","Berlin"
"588","Frankfurt","Lugano"
"589","Hamburg","Verona"
"590","Vienna","Ljubljana"
"591","Barcelona","Malaga"
"592","Liege","Cologne"
"593","Liege","Frankfurt"
"594","Cologne","Berlin"
"595","Poznan","Berlin"
"596","Poznan","Warsaw"
"597","Ostrava","Bratislava"
"598","Alicante","Valencia"
"599","Alicante","Barcelona"
"600","Milan","Bologna"
"601","Bologna","Pescara"
"602","Liverpool","Leeds"
"603","Liverpool","London"
"604","Duesseldorf","Paderborn"
"605","Granada","Barcelona"
"606","Zurich","Genoa"
"607","London","Inverness"
"608","Ostend","Brussels"
"609","Ostend","Antwerp"
"610","Graz","Ostrava"
"611","Zagreb","Vienna"
"612","Zagreb","Bratislava"
"613","Bratislava","Ostrava"
"614","Glasgow","London"
"615","Vaxjo","Copenhagen"
"616","Malmo","Munich"
"617","Marseille","Montpellier"
"618","Kosice","Budapest"
"619","Budapest","Zagreb"
"620","Oslo","Bergen"
"621","Copenhagen","Aalborg"
"622","Bremen","Frankfurt"
"623","Rome","Florence"
"624","Ljubljana","Budapest"
"625","Nuremberg","Stuttgart"
"626","Madrid","Valencia"
"627","Bremen","Duesseldorf"
"628","Bremen","Cologne"
"629","Bremen","Mannheim"
"630","Basel","Lugano"
"631","Ancona","Venice"
"632","Prague","Dresden"
"633","Paris","Frankfurt"
"634","Stockholm","Gothenburg"
"635","Stockholm","Copenhagen"
"636","Newcastle","Leeds"
"637","Newcastle","London"
"638","Eindhoven","Amsterdam"
"639","Berlin","Basel"
"640","Basel","Bern"
"641","Venice","Verona"
"642","Milan","Verona"
"643","Brussels","Lille"
"644","Amsterdam","Brussels"
"645","Graz","Stuttgart"
"646","London","Southampton"
"647","Constanta","Timisoara"
"648","Zaragoza","Sevilla"
"649","Milan","Chambery-Savoie"
"650","Marseille","Lyon"
"651","Lyon","Chambery-Savoie"
"652","Geneva","Paris"
"653","Chambery-Savoie","Bordeaux"
"654","Olbia","Cagliari"
"655","Ostrava","Wroclaw"
"656","Copenhagen","Esbjerg"
"657","Aarhus","Esbjerg"
"658","Berlin","Hamburg"
"659","Paris","Saarbruecken"
"660","Saarbruecken","Zweibruecken"
"661","Strasbourg","Saarbruecken"
"662","Hannover","Frankfurt"
"663","Exeter","Birmingham"
"664","Birmingham","Manchester"
"665","Munich","Memmingen"
"666","Zurich","Memmingen"
"667","Rijeka","Ljubljana"
