from_city,to_city,url,price
Norwich,London,https://www.thetrainline.com/en/train-times/norwich-to-london,from €12.24
Norwich,Manchester,https://www.thetrainline.com/en/train-times/norwich-to-manchester,from €34.28
Pisa,Florence,https://www.thetrainline.com/en/train-times/pisa-to-florence,from €7.90
Chambery-Savoie,Milan,https://www.thetrainline.com/en/train-times/chambery-savoie-to-milan,NA
Milan,Florence,https://www.thetrainline.com/en/train-times/milan-to-florence,from €8.90
Valladolid,Zaragoza,https://www.thetrainline.com/en/train-times/valladolid-to-zaragoza,from €13.75
Gdansk,Berlin,https://www.thetrainline.com/en/train-times/gdansk-to-berlin,NA
Brussels,Nantes,https://www.thetrainline.com/en/train-times/brussels-to-nantes,from €60
Budapest,Bratislava,https://www.thetrainline.com/en/train-times/budapest-to-bratislava,from €18.80
Metz,Saarbruecken,https://www.thetrainline.com/en/train-times/metz-to-saarbruecken,NA
Metz,Strasbourg,https://www.thetrainline.com/en/train-times/metz-to-strasbourg,from €10
Strasbourg,Basel,https://www.thetrainline.com/en/train-times/strasbourg-to-basel,from €10
Copenhagen,Gothenburg,https://www.thetrainline.com/en/train-times/copenhagen-to-gothenburg,NA
Vienna,Hamburg,https://www.thetrainline.com/en/train-times/vienna-to-hamburg,from €27.29
Hamburg,Gothenburg,https://www.thetrainline.com/en/train-times/hamburg-to-gothenburg,NA
Budapest,Hamburg,https://www.thetrainline.com/en/train-times/budapest-to-hamburg,from €16.90
Antwerp,Chambery-Savoie,https://www.thetrainline.com/en/train-times/antwerp-to-chambery-savoie,NA
Chambery-Savoie,Turin,https://www.thetrainline.com/en/train-times/chambery-savoie-to-turin,NA
Milan,Turin,https://www.thetrainline.com/en/train-times/milan-to-turin,from €5.90
Faro,Lisbon,https://www.thetrainline.com/en/train-times/faro-to-lisbon,NA
Berlin,Ostrava,https://www.thetrainline.com/en/train-times/berlin-to-ostrava,NA
Barcelona,Paris,https://www.thetrainline.com/en/train-times/barcelona-to-paris,from €39
Paris,Brussels,https://www.thetrainline.com/en/train-times/paris-to-brussels,from €23
